상호명,대표사진1,대표사진2,주소,맛 평점,가격 평점,응대 평점,평균 평점,전화번호,대표 리뷰,카테고리,분위기 태그,메뉴 정보,링크,운영시간
스타벅스 삼선교점,"<img alt=""스타벅스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20230910084738000_photo_168bea41924c.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""스타벅스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20230910084738000_photo_168bea41924c.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로 10,4.5,3.0,4.0,3.83,정보없음,리뷰 없음,정보없음,분위기 깔끔한(3) 시끌벅적한(1),"['씨솔트 카라멜 콜드 브루 - 6,500원', '자몽 망고 코코 프라푸치노 - 7,100원', '스퀴즈드 오렌지 주스 100ML - 3,800원', '디카페인 카페 모카 - 6,000원', '망고 패션 프루트 블렌디드 - 5,600원', '제주 말차 라떼 - 6,100원', '카라멜 프라푸치노 - 6,100원', '유자 민트 티 - 6,100원', '디카페인 카푸치노 - 5,500원', '에스프레소 프라푸치노 - 5,700원', '망고주스 190ML - 4,700원', '자몽 허니 블랙 티 - 5,900원', '블론드 에스프레소 프라푸치노 - 5,700원', '크랜베리 치킨 샌드위치 - 6,500원', '디카페인 에스프레소 프라푸치노 - 6,000원', '1/2디카페인 에스프레소 프라푸치노 - 6,000원', '케일&사과주스 190ML - 4,000원', '디카페인 화이트 초콜릿 모카 - 6,400원', '한라봉주스 190ML - 4,700원', '바질 토마토 베이글칩 - 3,500원', '레이디핑거 티라미수 케이크 - 6,900원', '오리지널 템페칩 - 3,500원', '핫칠리 템페칩 - 3,500원', '진한 가나슈 9 레이어 케이크 - 6,900원', '초콜릿 칩 쿠키 바스켓 - 7,900원', '블루베리 마블 치즈 케이크 - 7,300원', '라이스칩(유자잼) - 3,300원', '바스크 초코 치즈 케이크 - 7,300원', '부드러운 흑임자 롤 - 7,500원', '한 입에 쏙 고구마 - 3,800원', '생크림 크레이프 롤 - 7,500원', '한 입에 쏙 설향 딸기칩 - 3,500원', '한 입에 쏙 과일칩 - 3,500원', '한 입 그래놀라 - 2,500원', '제주 유기농 녹차로 만든 티 - 5,300원', '베르가못 콜드브루 - 6,000원', '오도독 건강한 넛&블루베리 - 2,000원', '디카페인 커피 스타벅스 더블 샷 - 5,600원', '오가닉 그릭 요거트 플레인 - 4,200원', '바닐라 빈 젤라또 - 5,300원', '잉글리쉬 스콘 - 3,900원', '한입에 쏙 공주 알밤 - 3,300원', '파베 초콜릿 젤라또 - 5,300원', '딸기 요거트 젤라또 - 5,600원', '소시지 프레첼 소금빵 - 5,800원', '탕종 플레인 베이글 - 3,300원', '로투스 비스코프 바브카 - 4,500원', '스틱 에그 타르트 - 4,600원', '부드러운 생크림 카스텔라 - 4,500원', '탕종 블루베리 베이글 - 3,500원', '탕종 파마산 치즈 베이글 - 3,500원', '블루베리 요거트 190ML - 4,500원', '클래식 피낭시에 - 3,500원', '디카페인 바닐라 스타벅스 더블 샷 - 5,600원', '하루 한 컵 RED+ - 3,300원', '초콜릿 피낭시에 - 3,500원', '프리미엄 바나나 - 1,500원', '과일 생크림 케이크 - 7,900원', 'ABC 클렌즈 190ML - 4,700원', '케일 클렌즈 190ML - 4,700원', '버터바 - 3,800원', '다크 초콜릿 마카롱 - 2,700원', '하트 스트로베리 마카롱 - 3,200원', '화이트 초콜릿 모카 - 6,100원', '잉글리쉬 브렉퍼스트 티 - 4,500원', '디카페인 헤이즐넛 스타벅스 더블 샷 - 5,600원', '복숭아 가득 핸디 젤리 - 2,800원', '한라봉 가득 핸디 젤리 - 2,800원', '쿨 라임 피지오 - 6,100원', '하트 파이 - 3,200원', '사과 가득 핸디 젤리 - 2,800원', '미니 리프 파이 - 3,900원', '디카페인 에스프레소 - 4,200원', '얼 그레이 티 - 4,500원', '밀크 푸딩 - 3,300원', '초콜릿 푸딩 - 3,300원', '제주 녹차 푸딩 - 3,300원', '에비앙 500ML - 3,300원', '어쏘티드 토피넛 캔디 - 3,500원', '콜드 브루 - 5,100원', '자일리톨 캔디 크리스탈 피치 - 3,300원', '자일리톨 캔디 크리스탈 레몬 - 3,300원', '씨프렌즈 캔디 - 4,500원', '초콜릿 쉐이크 스틱 - 5,600원', '디카페인 에스프레소 콘 파나 - 4,400원', '그레인 쉐이크 스틱 - 5,600원', '우리 쌀 파우더 - 9,800원', '우리 쑥 파우더 - 9,800원', '유스베리 티 - 4,500원', '그래놀라 오리지널(250g) - 13,900원', '블론드 더블 에스프레소 칩 프라푸치노 - 6,500원', '비카인드 카라멜 씨솔트 아몬드 바 - 2,800원', '커피 스타벅스 더블 샷 - 5,300원', '페리에 라임 330ML - 3,300원', '디카페인 에스프레소 마키아또 - 4,200원', '한 입에 쏙 카스텔라 - 3,900원', '하리보 골드베렌 40g - 1,500원', '바닐라 스타벅스 더블 샷 - 5,300원', '히비스커스 블렌드 티 - 4,500원', '페리에 플레인 330ML - 3,300원', '유기농 스파클링 애플 주스 296ML - 4,800원', '스타벅스 초코 쿠키 틴 세트 - 12,900원', '헤이즐넛 스타벅스 더블 샷 - 5,300원', '민트 블렌드 티 - 4,500원', '에스프레소 - 3,900원', '에스프레소 마키아또 - 3,900원', '캐모마일 블렌드 티 - 4,500원', '에스프레소 콘 파나 - 4,100원', '1/2디카페인 플랫 화이트 - 6,100원', '1/2디카페인 스타벅스 돌체 라떼 - 6,400원', '1/2디카페인 카라멜 마키아또 - 6,400원', '1/2디카페인 카페 라떼 - 5,500원', '수박 주스 190ML - 4,500원', '바게트 소금빵 - 3,300원', '1/2디카페인 카페 아메리카노 - 5,000원', '1/2디카페인 카페 모카 - 6,000원', '1/2디카페인 카푸치노 - 5,500원', '1/2디카페인 화이트 초콜릿 모카 - 6,400원', '1/2디카페인 커피 스타벅스 더블 샷 - 5,600원', '1/2디카페인 바닐라 스타벅스 더블 샷 - 5,600원', '1/2디카페인 헤이즐넛 스타벅스 더블 샷 - 5,600원', '1/2디카페인 에스프레소 - 4,200원', '1/2디카페인 에스프레소 콘 파나 - 4,400원', '1/2디카페인 에스프레소 마키아또 - 4,200원', '햄 & 체다 크루아상 샌드위치 - 5,900원', '라이트 핑크 자몽 피지오 - 6,300원', '스타벅스 너티 쿠키 틴 세트 - 12,900원', '디카페인 더블 에스프레소 칩 프라푸치노 - 6,800원', '딸기주스 190ML - 4,500원', '돌체 콜드 브루 - 6,000원', '플랫 화이트 - 5,800원', '복숭아 핫 티 - 6,100원', '1/2디카페인 더블 에스프레소 칩 프라푸치노 - 6,800원', '플라워 버터 쿠키 틴 세트 - 23,000원', '카페 아메리카노 - 4,700원', '유기농 오렌지 100% 주스 190ML - 4,900원', '로스티드 치킨 & 치즈 샌드위치 - 6,500원', '아이스 커피 - 콜롬비아 나리뇨 - 4,500원', '블론드 플랫 화이트 - 5,800원', '딸기 촉촉 초코 생크림 케이크 - 8,300원', '에그 클럽 샌드위치 - 4,500원', '오늘의 커피 - 콜롬비아 나리뇨 - 4,500원', '카페 라떼 - 5,200원', '멜팅 치즈 베이컨 토스트 - 5,700원', '더블 머스캣 블렌디드 - 6,700원', '딸기 초코 생크림 케이크 - 7,300원', '시그니처 핫 초콜릿 - 5,900원', '바닐라 크림 콜드 브루 - 6,000원', '블론드 카페 아메리카노 - 4,700원', '제주 말차 크림 프라푸치노 - 6,500원', '딸기 가득 요거트 190ML - 4,100원', '디카페인 플랫 화이트 - 6,100원', '햄 & 루꼴라 페스토 샌드위치 - 6,900원', '초코 품은 부생카 - 5,500원', '아이스 커피 - 4,500원', '스코프 초콜릿 칩 스콘 - 4,900원', '더블 에그 브렉퍼스트 & 체다 샌드위치 - 5,700원', '오늘의 커피 - 4,500원', '디카페인 카페 아메리카노 - 5,000원', '블론드 카페 라떼 - 5,200원', '치킨 & 머쉬룸 멜팅 치즈 샌드위치 - 6,900원', '세사미 포테이토 탕종 베이글 샌드 - 6,900원', '디카페인 카페 라떼 - 5,500원', '베이컨 체다 & 오믈렛 샌드위치 - 5,900원', '스타벅스 돌체 라떼 - 6,100원', '블론드 바닐라 더블 샷 마키아또 - 6,100원', '블랙 사파이어 치즈 케이크 - 12,900원', '오트 콜드 브루 - 6,000원', '더블 치킨 브레스트 체다 & 에그 샌드위치 - 5,700원', '디카페인 스타벅스 돌체 라떼 - 6,400원', '바질 토마토 탕종 베이글 샌드 - 5,900원', '카페 모카 - 5,700원', '치킨 베이컨 랩 - 6,500원', '디카페인 카라멜 마키아또 - 6,400원', '자바 칩 프라푸치노 - 6,500원', '다크 초콜릿 카우보이 쿠키 - 2,800원', '햇사과 주스 190ML - 4,700원', 'B.L.T. 샌드위치 - 6,700원', '딸기 딜라이트 요거트 블렌디드 - 6,500원', '블론드 스타벅스 돌체 라떼 - 6,100원', '스타벅스 초코 쿠키 - 1,500원', '스타벅스 초코 쿠키 10개입 - 15,000원', '스타벅스 너티 쿠키 - 1,500원', '스타벅스 너티 쿠키 10개입 - 15,000원', '카푸치노 - 5,200원', '카라멜 마키아또 - 6,100원', '비스코티 크래커 - 13,900원', '스팀 우유 - 4,100원', '더블 에스프레소 칩 프라푸치노 - 6,500원', '스타벅스 클래식 밀크 티 - 6,100원', '블론드 카페 모카 - 5,700원', '블론드 카푸치노 - 5,200원', '블론드 카라멜 마키아또 - 6,100원', '블론드 화이트 초콜릿 모카 - 6,100원', '블론드 커피 스타벅스 더블 샷 - 5,300원', '블론드 바닐라 스타벅스 더블 샷 - 5,300원', '초콜릿 크림 칩 프라푸치노 - 6,200원', '우유 - 4,100원', '블론드 헤이즐넛 스타벅스 더블 샷 - 5,300원', '스타벅스 딸기 라떼 - 6,500원', '블론드 에스프레소 - 3,900원', '베리 핑거 초콜릿 세트 - 7,500원', '블론드 에스프레소 마키아또 - 3,900원', '베리 핑거 초콜릿 - 2,500원', '돌체 핑거 초콜릿 세트 - 7,500원', '블론드 에스프레소 콘 파나 - 4,100원', '돌체 핑거 초콜릿 - 2,500원', '헤이즐넛 볼 초콜릿 밀크 - 4,500원', '헤이즐넛 볼 초콜릿 모카 - 4,500원', '망고 바나나 블렌디드 - 6,600원']",https://www.diningcode.com/profile.php?rid=IPVmn0GXCKH2,"['목: : 08:00 - 22:00', '금: 영업시간: 08:30 - 22:00', '토: 영업시간: 08:30 - 22:00', '일: 영업시간: 08:30 - 22:00', '월: 영업시간: 08:00 - 22:00', '화: 영업시간: 08:00 - 22:00', '수: 영업시간: 08:00 - 22:00']"
한성대 양꼬치,"<img alt=""한성대 양꼬치 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250103101008_photo2_186410de0bd4.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""한성대 양꼬치 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250103101008_photo2_186410de0bd4.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 14-31,5.0,4.6,4.2,4.6,정보없음,리뷰 없음,정보없음,분위기 시끌벅적한(1) 서민적인(1) 캐주얼한(1) 가성비좋은(1) 깔끔한(1)…더보기 숨은맛집(1),"['양꼬치 - 15,000원', '양갈비살 - 15,000원', '양갈비 - 16,000원', '왕양갈비 - 22,000원', '탕수육 - 20,000원', '양등심 - 16,000원', '건두부볶음 - 13,000원', '건두부무침 - 13,000원', '옥수수국수 - 8,000원', '열무비빔국수 소 - 8,000원']",https://www.diningcode.com/profile.php?rid=IeuwbR4sDaXj,"['목: 확인 필요', '금: 확인필요', '토: 확인필요', '일: 확인필요', '월: 확인필요', '화: 확인필요', '수: 확인필요']"
다바타식당,"<img alt=""다바타식당 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250217125106_photo2_9fd7a3318341.jpg"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""다바타식당 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250217125106_photo2_9fd7a3318341.jpg"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로16길 54,4.8,4.6,5.0,4.8,,일본의 작은 식당에 온 것 같은 기분이에요. ㄷ자 바 테이블의 가운데에서 주문 즉시 조리해 주시는데 맛있는 냄새와 함께 보는 즐거움도 있어요. 네이버 지도에는 점심에도 영업한다고 ,"일본가정식, 일식당",분위기 서민적인(6) 조용한(4) 이국적/이색적(4) 깔끔한(3) 지역주민이찾는(3)…더보기 예쁜(3) 지역주민이 찾는(2) 숨은맛집(2) 캐주얼한(2) 가성비좋은(2) 아담한(1) 푸짐한(1) 정갈한(1),"['소세지 볶음 - 12,000원', '닭고기 구이 - 12,000원', '함박 스테이크 - 12,000원', '카레라이스 - 10,500원', '도시락정식 - 10,500원', '계란말이 - 12,000원', '모듬치즈 - 12,000원', '감자사라다 - 12,000원', '닭구이 정식 - 10,500원', '카레 라이스 - 10,500원', '오므 라이스 - 10,500원']",https://www.diningcode.com/profile.php?rid=IjdNRDYXBFUr,"['목: : 11:30 - 22:30', '금: 영업시간: 11:30 - 22:30', '토: 영업시간: 11:30 - 22:30', '일: 휴무일', '월: 영업시간: 11:30 - 22:30', '화: 영업시간: 11:30 - 22:30', '수: 영업시간: 11:30 - 22:30']"
옛고을,"<img alt=""옛고을 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250121012240_photo2_9fd7a3318341.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""옛고을 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250121012240_photo2_9fd7a3318341.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 20-2,4.0,4.0,4.0,4.0,,술먹으러 대학생들이 가기 좋은 곳이고 맛집은 아님 골목에 있음,"민속주점, 모듬전",분위기 서민적인(2) 숨은맛집(1) 지역주민이찾는(1),"['해물전 - 15,000원', '녹두전 - 13,000원', '감자전 - 13,000원', '참치감자전 - 13,000원', '스페셜모듬전 - 18,000원', '초이스모듬전 - 13,000원']",https://www.diningcode.com/profile.php?rid=IwpQt0uEr3VP,"['목: : 16:00 - 04:00', '금: 영업시간: 16:00 - 04:00', '토: 영업시간: 16:00 - 04:00', '일: 영업시간: 16:00 - 04:00', '월: 영업시간: 16:00 - 04:00', '화: 영업시간: 16:00 - 04:00', '수: 영업시간: 16:00 - 04:00']"
혜화면옥,"<img alt=""혜화면옥 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241213123510_photo2_3f37281b1da0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""혜화면옥 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241213123510_photo2_3f37281b1da0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 보문로 193-1,4.4,3.6,4.0,4.0,정보없음,리뷰 없음,정보없음,분위기 서민적인(5) 깔끔한(4) 캐주얼한(4) 숨은맛집(2) 지역주민이찾는(2)…더보기 푸짐한(1) 시끌벅적한(1) 지역주민이 찾는(1) 가성비좋은(1),"['물냉면 - 9,000원', '비빔냉면 - 9,000원', '갈비찜 대 - 59,000원', '후식냉면 - 4,000원', '볶음밥 - 2,000원', '회냉면 - 12,000원', '찐만두(한판) - 8,000원', '찐만두(반판) - 4,000원', '갈비찜(소) - 49,000원', '갈비찜(중) - 59,000원', '불냉면 - 9,000원', '갈비찜(대) - 69,000원', '불(매운)냉면 - 11,000원', '갈비탕 - 16,000원', '홍어회무침 - 30,000원', '콜라 - 2,000원', '사이다 - 2,000원', '공기밥 - 1,000원', '만두국 - 9,000원', '만두한판 - 7,000원', '만두반판 - 3,500원', '갈비찜 소 - 39,000원', '갈비찜 중 - 49,000원']",https://www.diningcode.com/profile.php?rid=JcqVtpf3TziR,"['목: : 11:00 - 22:00', '금: 영업시간: 11:00 - 22:00', '토: 영업시간: 11:00 - 22:00', '일: 영업시간: 11:00 - 22:00', '월: 영업시간: 11:00 - 22:00', '화: 영업시간: 11:00 - 22:00', '수: 영업시간: 11:00 - 22:00']"
곱창카페,"<img alt=""곱창카페 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250420092119_photo2_3f37281b1da0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""곱창카페 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250420092119_photo2_3f37281b1da0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로10길 16,4.5,4.0,4.0,4.17,정보없음,리뷰 없음,정보없음,분위기 숨은맛집(3) 가성비좋은(2) 서민적인(2) 캐주얼한(2) 지역주민이찾는(2)…더보기 시끌벅적한(1) 푸짐한(1) 이국적/이색적(1) 깔끔한(1),"['불곱창 - 12,000원', '불막창 - 15,000원', '치즈누룽지볶음밥 - 5,000원', '참치주먹밥 - 4,000원', '날치알주먹밥 - 4,000원', '날치알볶음밥 - 3,000원', '홍합탕 - 10,000원', '계란찜 - 4,000원', '야채곱창 - 12,000원', '크림파스타 - 6,000원', '간장곱창 - 12,000원', '간장막창 - 15,000원', '소금막창 - 16,000원', '곱창전골 - 13,000원', '홍추로제파스타 - 8,000원', '칠리크림파스타 - 6,000원']",https://www.diningcode.com/profile.php?rid=JeKHmnssgQDM,"['목: : 15:00 - 04:00', '금: 영업시간: 15:00 - 04:00', '토: 영업시간: 15:00 - 04:00', '일: 영업시간: 15:00 - 04:00', '월: 영업시간: 15:00 - 04:00', '화: 영업시간: 15:00 - 04:00', '수: 영업시간: 15:00 - 04:00']"
나따드나따,"<img alt=""나따드나따 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241130102909206_photo_98d7fe999ba5.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""나따드나따 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241130102909206_photo_98d7fe999ba5.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 성북로2길 22,5.0,5.0,5.0,5.0,정보없음,리뷰 없음,정보없음,분위기 캐주얼한(1) 이국적/이색적(1) 지역주민이찾는(1),"['Pastéis de Nata - 3,000원', 'Tentugal - 5,000원']",https://www.diningcode.com/profile.php?rid=JerynLOccrnp,"['목: : 10:00 - 20:00', '금: 영업시간: 10:00 - 20:00', '토: 영업시간: 10:00 - 20:00', '일: 영업시간: 10:00 - 20:00', '월: 휴무일', '화: 영업시간: 10:00 - 20:00', '수: 영업시간: 10:00 - 20:00']"
왕십리불난막창,"<img alt=""왕십리불난막창 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20200701073158_photo2_6f70d4a8a958.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""왕십리불난막창 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20200701073158_photo2_6f70d4a8a958.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 17-1,3.0,5.0,5.0,4.33,,포장주문하려고 미리 전화해서 말씀드렸는데 도착했는데도 다 안되서 당황스러웠어요. 손님이 많은 것도 아니었는데.. 그래도 사장님께서 친절하셨습니다. 인원수대로 주문하면 껍데기를 주시,"막창, 곱창",분위기 숨은맛집(1) 서민적인(1) 캐주얼한(1),"['막창소금구이 - 14,000원', '막창양념구이 - 14,000원', '야채곱창 - 12,000원', '돼지껍데기 - 10,000원', '천엽 - 10,000원']",https://www.diningcode.com/profile.php?rid=L37C8UJcgTtw,"['목: : 16:00 - 00:00', '금: 영업시간: 16:00 - 00:00', '토: 영업시간: 16:00 - 00:00', '일: 영업시간: 16:00 - 00:00', '월: 영업시간: 16:00 - 00:00', '화: 영업시간: 16:00 - 00:00', '수: 영업시간: 16:00 - 00:00']"
목바,"<img alt=""목바 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20181125000912_photo2_08fc52348c7c.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""목바 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20181125000912_photo2_08fc52348c7c.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 4-3,4.0,3.0,4.0,3.67,,맛있어요 ㅠ 분위기도 괜찮고 가볍게 술 한잔하기에 좋은 것 같습니다!,"바베큐, 목살",분위기 캐주얼한(2) 서민적인(1) 예쁜(1) 깔끔한(1) 이국적/이색적(1)…더보기 지역주민이 찾는(1) 숨은맛집(1) 시끌벅적한(1),"['목바2인 - 24,000원', '목바 샐러드파스타 - 16,000원', '목바+샐러드파스타 세트 - 36,000원', '목바3인 - 28,000원']",https://www.diningcode.com/profile.php?rid=MNsxwH3G2WyT,"['목: : 18:00 - 01:00', '금: 영업시간: 18:00 - 01:00', '토: 영업시간: 18:00 - 01:00', '일: 영업시간: 18:00 - 01:00', '월: 영업시간: 18:00 - 01:00', '화: 영업시간: 18:00 - 01:00', '수: 영업시간: 18:00 - 01:00']"
찌개집,"<img alt=""찌개집 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250405015712260_photo_fepyMr9BhR0u.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""찌개집 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250405015712260_photo_fepyMr9BhR0u.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 20-3,3.0,3.0,3.0,3.0,,"성북동 벚꽃 놀이 가면서 방문한 곳.
그냥 일반적인 김치찌개집.
무난한 곳.","김치찌개, 돼지김치찌개",분위기 서민적인(1) 가성비좋은(1) 경관/야경이좋은(1),"['돼지김치찌개 - 17,000원', '꽁치찌개 - 17,000원', '참치찌개 - 16,000원']",https://www.diningcode.com/profile.php?rid=N2ofiNJvwdMT,"['목: : 17:00 - 00:00', '금: 영업시간: 17:00 - 00:00', '토: 영업시간: 17:00 - 00:00', '일: 휴무일', '월: 영업시간: 17:00 - 00:00', '화: 영업시간: 17:00 - 00:00', '수: 영업시간: 17:00 - 00:00']"
100년설렁탕 본점,"<img alt=""100년설렁탕 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20190226_211452.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""100년설렁탕 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20190226_211452.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로 38,3.0,5.0,3.0,3.67,,설렁탕이 굉장히 맛있는 집입니다. 만두를 사이드 메뉴로 먹으면 더욱 맛있어요.,"설렁탕, 도가니탕",분위기 서민적인(1),"['특설렁탕 - 14,000원', '도가니전골 - 60,000원', '설렁탕 - 11,000원', '도가니설렁탕 - 18,000원', '뚝불고기 - 13,000원', '육개장 - 11,000원', '불고기전골 - 20,000원', '수육전골 - 50,000원']",https://www.diningcode.com/profile.php?rid=NmHjI1gRWc90,"['목: : 00:00 - 24:00', '금: 영업시간: 00:00 - 24:00', '토: 영업시간: 00:00 - 24:00', '일: 영업시간: 00:00 - 21:00', '월: 영업시간: 00:00 - 24:00', '화: 영업시간: 00:00 - 24:00', '수: 영업시간: 00:00 - 24:00']"
신신식당,"<img alt=""신신식당 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240130060650_photo2_f68a0699b1ff.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""신신식당 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240130060650_photo2_f68a0699b1ff.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로23길 7,4.0,4.0,4.0,4.0,정보없음,리뷰 없음,정보없음,분위기 캐주얼한(2) 서민적인(1) 가성비좋은(1) 푸짐한(1) 지역주민이찾는(1)…더보기,"['우렁쌈밥 - 10,000원', '제육쌈밥 - 10,000원', '우렁무침 - 10,000원', '우렁초장회 - 10,000원', '숭늉 누룽지 - 0원', '고등어김치 추가 - 2,000원', '청국장추가 - 5,000원']",https://www.diningcode.com/profile.php?rid=NwnIu3c4uDIC,"['목: : 11:00 - 15:00', '금: 영업시간: 11:00 - 15:00', '토: 영업시간: 11:00 - 15:00', '일: 휴무일', '월: 영업시간: 11:00 - 15:00', '화: 영업시간: 11:00 - 15:00', '수: 영업시간: 11:00 - 15:00']"
성북동칼국수,"<img alt=""성북동칼국수 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240309233059_photo2_6f119e64d2a7.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""성북동칼국수 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240309233059_photo2_6f119e64d2a7.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 성북로 5-7,4.3,3.7,3.7,3.9,,"🍜
맑은 칼국수 국물에 부드러운 낙지가 들어있습니다. 감자 한 조각 애호박 한 조각 정도가 칼국수 내용물의 거의 전부입니다. 
손반죽 칼국수의 쫄깃한 식감이 좋았습니다.
국수 면의","칼국수, 수제비",분위기 서민적인(3) 캐주얼한(3) 깔끔한(2) 시끌벅적한(1) 지역주민이찾는(1)…더보기,"['칼국수, 수제비 - 10,000원', '만두국, 만두 - 11,000원', '낙지만두전골 2인분 - 35,000원', '낙지만두전골 3인분 - 45,000원', '대구전(소) - 10,000원', '대구전(중) - 15,000원', '대구전(대) - 28,000원', '비빔칼국수 - 9,000원', '낙지볶음 - 25,000원', '서리태콩국수 - 10,000원']",https://www.diningcode.com/profile.php?rid=P9DRLHnGlHre,"['목: : 11:00 - 21:00', '금: 영업시간: 11:00 - 21:00', '토: 영업시간: 11:00 - 21:00', '일: 영업시간: 11:00 - 21:00', '월: 영업시간: 11:00 - 21:00', '화: 영업시간: 11:00 - 21:00', '수: 영업시간: 11:00 - 21:00']"
